país,codigo_pais,factor_(serie),codigo_serie,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
España,ESP,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,5.248,4.8373,6.7914,6.7218,5.9342,5.9245,4.5691,4.7184,4.6738,3.5588,1.9711,1.8343,2.3103,3.4335,3.5898,3.0657,3.0389,3.0392,3.3688,3.5156,2.7868,4.0753,-0.2878,1.7999,3.1961,2.4461,1.4086,-0.1511,-0.5004,-0.2026,1.9561,1.675,0.6995,-0.3228,3.0931,8.3906
Fiji,FJI,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,7.34,7.328,2.8483,6.6795,5.9931,6.3067,7.2373,0.828,1.1304,2.8684,3.2901,7.448,6.7318,-4.7199,3.2454,3.2664,7.7028,2.194,6.6452,3.7468,3.0245,2.1581,1.3907,4.2298,9.3913,3.5765,3.6213,12.5054,2.5309,2.6333,1.6985,1.4257,2.2435,-1.2161,-3.4466,5.3407
Fiji,FJI,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,5.6638,11.7583,6.1894,8.1914,6.4973,4.883,5.2066,0.8167,2.1656,3.0502,3.3681,5.7117,1.9687,1.0922,4.2727,0.762,4.1727,2.8275,2.3658,2.4908,4.8037,7.7323,3.131,3.689,7.2781,3.4234,2.9135,0.5193,1.3749,3.8632,3.3476,4.0815,1.7731,-2.5952,0.1559,4.5202
Finlandia,FIN,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,4.2841,7.6831,6.5301,5.1954,1.5118,0.8877,1.7659,1.8454,4.2011,-0.0783,2.0804,3.0979,0.927,1.6378,3.3034,0.9443,0.1899,0.6027,0.9289,0.9207,2.7533,3.0372,1.7739,0.3229,2.6235,2.974,2.5583,1.6316,1.6167,0.0874,0.8193,2.0018,1.4966,1.6347,2.1624,4.2465
Finlandia,FIN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.113,5.0859,6.5929,6.1496,4.3102,2.9193,2.1907,1.0886,0.7912,0.6292,1.1926,1.3995,1.1622,3.0421,2.5784,1.5712,0.8774,0.1871,0.6239,1.5667,2.5107,4.066,-0.0,1.1841,3.4168,2.8083,1.4783,1.0412,-0.2079,0.3567,0.754,1.0838,1.0241,0.2906,2.1946,7.1235
Federación de Rusia,RUS,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,,,,15.9029,128.6298,1490.4184,887.8407,307.2981,144.0069,46.0364,15.0585,18.539,72.3866,37.6979,16.4796,15.6619,13.6571,20.2551,19.2794,15.1204,13.8412,18.0135,1.9706,14.1911,24.4601,8.9079,5.3201,7.4901,7.2497,2.8442,5.3498,9.998,3.2631,0.8982,18.9905,15.8047
Federación de Rusia,RUS,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,874.2457,307.7226,197.4143,47.752,14.7613,27.6857,85.7465,20.7988,21.477,15.7887,13.6633,10.8886,12.6853,9.6687,9.0073,14.1108,11.6473,6.8494,8.4405,5.0747,6.7537,7.8234,15.5344,7.0424,3.6833,2.8783,4.4704,3.3817,6.6945,
Grecia,GRC,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,15.2527,16.6799,14.499,20.6906,19.7877,14.7988,14.4287,11.1819,9.7918,7.6357,6.5534,5.1036,3.6227,1.5927,3.4748,3.3488,3.4536,3.0627,2.2403,3.495,3.4227,4.3446,2.5698,-0.177,0.959,-0.2751,-2.0456,-1.9388,-0.2937,-0.5786,0.2854,-0.1652,0.2241,-0.8609,1.2922,8.1135
Grecia,GRC,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,16.3969,13.5289,13.6556,20.4335,19.4558,15.8771,14.4113,10.8741,8.9345,8.1946,5.536,4.7662,2.6366,3.1512,3.374,3.6294,3.5307,2.8988,3.5451,3.1959,2.895,4.1528,1.2101,4.713,3.3299,1.5015,-0.9213,-1.3123,-1.7359,-0.8257,1.1213,0.6256,0.253,-1.248,1.2238,9.6453
India,IND,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,9.3279,8.2325,8.4368,10.6683,13.7518,8.9652,9.8618,9.98,9.0627,7.575,6.4763,8.0102,3.0684,3.645,3.2156,3.7157,3.8678,5.7254,5.6219,8.4009,6.9444,9.194,7.0404,10.526,8.7336,7.9344,6.1865,3.3318,2.2796,3.238,3.9693,3.8842,2.4055,4.7465,8.5385,8.3182
India,IND,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,8.8011,9.3835,7.0743,8.9712,13.8702,11.7878,6.3269,10.2479,10.2249,8.9772,7.1643,13.2308,4.6698,4.0094,3.7793,4.2972,3.8059,3.7673,4.2463,5.7965,6.3729,8.3493,10.8824,11.9894,8.9118,9.479,10.0179,6.6657,4.907,4.9482,3.3282,3.9388,3.7295,6.6234,5.1314,6.699
Marruecos,MAR,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,3.0148,3.6706,2.92,7.6944,5.3963,4.5879,3.035,0.6553,7.5384,0.4355,0.7134,11.6572,-0.1202,-1.7676,0.6145,0.9596,0.8604,0.9135,0.8862,1.4454,3.1715,4.8304,-0.4526,0.6475,-0.5988,0.5332,1.2603,0.2154,3.1729,0.9699,-0.0609,0.9392,0.8168,0.147,3.2442,5.0347
Marruecos,MAR,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.6987,2.3691,3.26,6.7826,7.9862,5.7402,5.1831,5.1417,6.1236,2.9868,1.0382,2.7531,0.6848,1.8946,0.6198,2.7956,1.1677,1.4934,0.9826,3.2848,2.0421,3.7148,0.9719,0.9936,0.9069,1.2871,1.8807,0.4423,1.5579,1.6353,0.7547,1.8039,0.3034,0.706,1.402,6.657
México,MEX,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,142.0088,100.4554,27.3581,28.1566,23.6399,14.881,34.673,8.8105,38.4647,26.5455,18.7449,15.4297,16.1028,11.1522,6.0415,5.5034,4.0395,7.9617,5.8739,6.3892,5.7891,6.1725,3.9477,4.5452,5.8429,4.0659,1.5297,4.4397,2.8351,5.6053,6.7127,4.9464,4.1238,4.1673,5.1641,7.0322
México,MEX,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,131.8274,114.1623,20.0079,26.6517,22.6624,15.5079,9.7515,6.9658,34.9993,34.3784,20.6256,15.9284,16.5856,9.4916,6.3677,5.0307,4.5469,4.6884,3.9881,3.6295,3.9668,5.125,5.2974,4.1567,3.4074,4.1115,3.8064,4.0186,2.7206,2.8217,6.0415,4.8994,3.636,3.3968,5.6892,7.8963
Nepal,NPL,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,12.6968,11.8153,11.2584,10.7159,12.5446,18.4891,10.7749,4.816,6.3009,7.823,7.2791,4.1079,8.887,4.4724,11.0171,3.9349,3.0703,4.1664,6.1194,7.36,7.6033,5.6199,15.9083,15.1469,26.3973,7.7412,7.0827,8.0354,4.409,7.1503,8.2614,4.3559,4.6912,3.2174,6.7627,7.3274
Nepal,NPL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,10.7503,8.983,8.8469,8.2397,15.5575,17.1495,7.5054,8.3493,7.623,9.2205,4.01,11.2445,7.4511,2.4788,2.6883,3.0294,5.707,2.8418,6.8363,6.9203,2.2692,9.9078,11.0948,9.3265,9.2271,9.4598,9.0402,8.3642,7.8689,8.7903,3.6271,4.0612,5.5687,5.0524,4.0879,7.6927
Níger,NER,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,1.6846,-5.3,1.4,39.36,-2.6407,-5.2019,-3.8688,22.2144,4.2495,6.9686,6.9917,6.0782,0.3797,3.1784,5.0125,2.5723,-0.1885,0.3869,8.5849,1.4962,7.0367,10.1291,4.1901,3.475,3.9716,5.3083,-0.3692,-0.4057,2.2494,1.7927,0.3721,2.1758,0.4069,0.9492,3.1186,-5.5118
Níger,NER,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,-6.7121,-1.394,-2.8435,-0.7757,-7.7966,-4.4756,-1.215,36.0411,10.5633,5.2889,2.9335,4.548,-2.3021,2.9001,4.0055,2.6289,-1.6144,0.2625,7.7975,0.0405,0.054,11.3051,0.5829,0.8041,2.9424,0.4551,2.2972,-0.9303,-0.5761,1.6539,2.7964,2.9676,-2.4898,2.8982,3.8379,4.2262
Países Bajos,NLD,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,-1.0476,0.8196,1.3481,1.5598,3.117,2.4957,1.5975,2.0627,2.0646,1.0402,2.6428,2.0807,1.2834,3.4204,4.1849,3.7705,2.1703,1.204,1.9887,2.5611,2.0722,2.3063,0.2207,0.9404,0.1937,1.4461,1.28,0.2532,0.7727,0.4547,1.2607,2.4371,3.0327,1.9286,2.4187,5.304
Países Bajos,NLD,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,-0.6912,0.738,1.0822,2.4541,3.1582,3.1836,2.5842,2.8015,1.9232,1.9494,2.1092,1.9591,2.1572,2.3605,4.1558,3.2875,2.092,1.2636,1.6881,1.1015,1.6139,2.4865,1.1898,1.2753,2.3411,2.4555,2.5069,0.976,0.6002,0.3167,1.3815,1.7035,2.6337,1.2725,2.6757,10.0012
