Pais,Año,Indicador,Valor,Indicador_name
BRA,2010,FP.CPI.TOTL.ZG,5.03872690108066,"Inflation, consumer prices (annual %)"
BRA,2011,FP.CPI.TOTL.ZG,6.63644962213085,"Inflation, consumer prices (annual %)"
BRA,2012,FP.CPI.TOTL.ZG,5.40349914037009,"Inflation, consumer prices (annual %)"
BRA,2013,FP.CPI.TOTL.ZG,6.204310666401,"Inflation, consumer prices (annual %)"
BRA,2014,FP.CPI.TOTL.ZG,6.32904015516142,"Inflation, consumer prices (annual %)"
BRA,2015,FP.CPI.TOTL.ZG,9.02990102416129,"Inflation, consumer prices (annual %)"
BRA,2016,FP.CPI.TOTL.ZG,8.73914352329393,"Inflation, consumer prices (annual %)"
BRA,2017,FP.CPI.TOTL.ZG,3.44637335032672,"Inflation, consumer prices (annual %)"
BRA,2018,FP.CPI.TOTL.ZG,3.66485028376724,"Inflation, consumer prices (annual %)"
BRA,2019,FP.CPI.TOTL.ZG,3.73297621216894,"Inflation, consumer prices (annual %)"
BRA,2020,FP.CPI.TOTL.ZG,3.21176803803379,"Inflation, consumer prices (annual %)"
BRA,2021,FP.CPI.TOTL.ZG,8.30165975585676,"Inflation, consumer prices (annual %)"
BRA,2022,FP.CPI.TOTL.ZG,9.2801060895687,"Inflation, consumer prices (annual %)"
CAN,1987,FP.CPI.TOTL.ZG,4.3561087122174,"Inflation, consumer prices (annual %)"
CAN,1988,FP.CPI.TOTL.ZG,4.02823414871611,"Inflation, consumer prices (annual %)"
CAN,1989,FP.CPI.TOTL.ZG,4.98362189985959,"Inflation, consumer prices (annual %)"
CAN,1990,FP.CPI.TOTL.ZG,4.78047693336305,"Inflation, consumer prices (annual %)"
CAN,1991,FP.CPI.TOTL.ZG,5.62586408593004,"Inflation, consumer prices (annual %)"
CAN,1992,FP.CPI.TOTL.ZG,1.49013290374545,"Inflation, consumer prices (annual %)"
CAN,1993,FP.CPI.TOTL.ZG,1.86507936507936,"Inflation, consumer prices (annual %)"
CAN,1994,FP.CPI.TOTL.ZG,0.165562913907281,"Inflation, consumer prices (annual %)"
CAN,1995,FP.CPI.TOTL.ZG,2.14876033057852,"Inflation, consumer prices (annual %)"
CAN,1996,FP.CPI.TOTL.ZG,1.57053112507137,"Inflation, consumer prices (annual %)"
CAN,1997,FP.CPI.TOTL.ZG,1.62121638084528,"Inflation, consumer prices (annual %)"
CAN,1998,FP.CPI.TOTL.ZG,0.995942456658074,"Inflation, consumer prices (annual %)"
CAN,1999,FP.CPI.TOTL.ZG,1.73484295105918,"Inflation, consumer prices (annual %)"
CAN,2000,FP.CPI.TOTL.ZG,2.71943995691972,"Inflation, consumer prices (annual %)"
CAN,2001,FP.CPI.TOTL.ZG,2.52512013979907,"Inflation, consumer prices (annual %)"
CAN,2002,FP.CPI.TOTL.ZG,2.25839440940856,"Inflation, consumer prices (annual %)"
CAN,2003,FP.CPI.TOTL.ZG,2.75856321360112,"Inflation, consumer prices (annual %)"
CAN,2004,FP.CPI.TOTL.ZG,1.85725871857261,"Inflation, consumer prices (annual %)"
CAN,2005,FP.CPI.TOTL.ZG,2.21355203439764,"Inflation, consumer prices (annual %)"
CAN,2006,FP.CPI.TOTL.ZG,2.00202539534156,"Inflation, consumer prices (annual %)"
CAN,2007,FP.CPI.TOTL.ZG,2.13838399266843,"Inflation, consumer prices (annual %)"
CAN,2008,FP.CPI.TOTL.ZG,2.37027067444294,"Inflation, consumer prices (annual %)"
CAN,2009,FP.CPI.TOTL.ZG,0.299466803009284,"Inflation, consumer prices (annual %)"
CAN,2010,FP.CPI.TOTL.ZG,1.77687154092629,"Inflation, consumer prices (annual %)"
CAN,2011,FP.CPI.TOTL.ZG,2.91213508872355,"Inflation, consumer prices (annual %)"
CAN,2012,FP.CPI.TOTL.ZG,1.51567823124521,"Inflation, consumer prices (annual %)"
CAN,2013,FP.CPI.TOTL.ZG,0.93829189781521,"Inflation, consumer prices (annual %)"
CAN,2014,FP.CPI.TOTL.ZG,1.90663590717873,"Inflation, consumer prices (annual %)"
CAN,2015,FP.CPI.TOTL.ZG,1.12524136094279,"Inflation, consumer prices (annual %)"
CAN,2016,FP.CPI.TOTL.ZG,1.4287595470108,"Inflation, consumer prices (annual %)"
CAN,2017,FP.CPI.TOTL.ZG,1.5968841285297,"Inflation, consumer prices (annual %)"
CAN,2018,FP.CPI.TOTL.ZG,2.268225672481,"Inflation, consumer prices (annual %)"
CAN,2019,FP.CPI.TOTL.ZG,1.94926902411596,"Inflation, consumer prices (annual %)"
CAN,2020,FP.CPI.TOTL.ZG,0.716999632307852,"Inflation, consumer prices (annual %)"
CAN,2021,FP.CPI.TOTL.ZG,3.39519318527532,"Inflation, consumer prices (annual %)"
CAN,2022,FP.CPI.TOTL.ZG,6.80280115341612,"Inflation, consumer prices (annual %)"
CHE,1987,FP.CPI.TOTL.ZG,1.44032188041728,"Inflation, consumer prices (annual %)"
CHE,1988,FP.CPI.TOTL.ZG,1.8724685973187,"Inflation, consumer prices (annual %)"
CHE,1989,FP.CPI.TOTL.ZG,3.15526979710905,"Inflation, consumer prices (annual %)"
CHE,1990,FP.CPI.TOTL.ZG,5.40395909218942,"Inflation, consumer prices (annual %)"
CHE,1991,FP.CPI.TOTL.ZG,5.85959663468672,"Inflation, consumer prices (annual %)"
CHE,1992,FP.CPI.TOTL.ZG,4.03703020778741,"Inflation, consumer prices (annual %)"
CHE,1993,FP.CPI.TOTL.ZG,3.29262180313608,"Inflation, consumer prices (annual %)"
CHE,1994,FP.CPI.TOTL.ZG,0.852116995120689,"Inflation, consumer prices (annual %)"
CHE,1995,FP.CPI.TOTL.ZG,1.79982776867147,"Inflation, consumer prices (annual %)"
CHE,1996,FP.CPI.TOTL.ZG,0.811634064628214,"Inflation, consumer prices (annual %)"
CHE,1997,FP.CPI.TOTL.ZG,0.520225422736623,"Inflation, consumer prices (annual %)"
CHE,1998,FP.CPI.TOTL.ZG,0.0179384378439626,"Inflation, consumer prices (annual %)"
CHE,1999,FP.CPI.TOTL.ZG,0.806444380959444,"Inflation, consumer prices (annual %)"
CHE,2000,FP.CPI.TOTL.ZG,1.55852919679006,"Inflation, consumer prices (annual %)"
CHE,2001,FP.CPI.TOTL.ZG,0.989020329832555,"Inflation, consumer prices (annual %)"
CHE,2002,FP.CPI.TOTL.ZG,0.64271150654328,"Inflation, consumer prices (annual %)"
CHE,2003,FP.CPI.TOTL.ZG,0.638272930887213,"Inflation, consumer prices (annual %)"
CHE,2004,FP.CPI.TOTL.ZG,0.802908730955216,"Inflation, consumer prices (annual %)"
CHE,2005,FP.CPI.TOTL.ZG,1.17195420333701,"Inflation, consumer prices (annual %)"
CHE,2006,FP.CPI.TOTL.ZG,1.05950928324804,"Inflation, consumer prices (annual %)"
CHE,2007,FP.CPI.TOTL.ZG,0.732350603122241,"Inflation, consumer prices (annual %)"
CHE,2008,FP.CPI.TOTL.ZG,2.42604117060162,"Inflation, consumer prices (annual %)"
CHE,2009,FP.CPI.TOTL.ZG,-0.480481936423328,"Inflation, consumer prices (annual %)"
CHE,2010,FP.CPI.TOTL.ZG,0.688238707220017,"Inflation, consumer prices (annual %)"
CHE,2011,FP.CPI.TOTL.ZG,0.231349207650894,"Inflation, consumer prices (annual %)"
CHE,2012,FP.CPI.TOTL.ZG,-0.692552018105236,"Inflation, consumer prices (annual %)"
CHE,2013,FP.CPI.TOTL.ZG,-0.217323155115639,"Inflation, consumer prices (annual %)"
CHE,2014,FP.CPI.TOTL.ZG,-0.0132025387515987,"Inflation, consumer prices (annual %)"
CHE,2015,FP.CPI.TOTL.ZG,-1.14390867228178,"Inflation, consumer prices (annual %)"
CHE,2016,FP.CPI.TOTL.ZG,-0.434618664285843,"Inflation, consumer prices (annual %)"
CHE,2017,FP.CPI.TOTL.ZG,0.533787839825886,"Inflation, consumer prices (annual %)"
CHE,2018,FP.CPI.TOTL.ZG,0.936335464113605,"Inflation, consumer prices (annual %)"
CHE,2019,FP.CPI.TOTL.ZG,0.362886179940635,"Inflation, consumer prices (annual %)"
CHE,2020,FP.CPI.TOTL.ZG,-0.725874933313391,"Inflation, consumer prices (annual %)"
CHE,2021,FP.CPI.TOTL.ZG,0.581814168489875,"Inflation, consumer prices (annual %)"
CHE,2022,FP.CPI.TOTL.ZG,2.83502798644453,"Inflation, consumer prices (annual %)"
CHN,1987,FP.CPI.TOTL.ZG,7.23383553065604,"Inflation, consumer prices (annual %)"
CHN,1988,FP.CPI.TOTL.ZG,18.8118179448753,"Inflation, consumer prices (annual %)"
CHN,1989,FP.CPI.TOTL.ZG,18.2456383621648,"Inflation, consumer prices (annual %)"
CHN,1990,FP.CPI.TOTL.ZG,3.05229012075235,"Inflation, consumer prices (annual %)"
CHN,1991,FP.CPI.TOTL.ZG,3.55668565220449,"Inflation, consumer prices (annual %)"
CHN,1992,FP.CPI.TOTL.ZG,6.3539813402487,"Inflation, consumer prices (annual %)"
CHN,1993,FP.CPI.TOTL.ZG,14.6100786356603,"Inflation, consumer prices (annual %)"
CHN,1994,FP.CPI.TOTL.ZG,24.2569897243361,"Inflation, consumer prices (annual %)"
CHN,1995,FP.CPI.TOTL.ZG,16.7912251650917,"Inflation, consumer prices (annual %)"
CHN,1996,FP.CPI.TOTL.ZG,8.31316028893904,"Inflation, consumer prices (annual %)"
CHN,1997,FP.CPI.TOTL.ZG,2.78646505531886,"Inflation, consumer prices (annual %)"
CHN,1998,FP.CPI.TOTL.ZG,-0.773186011549305,"Inflation, consumer prices (annual %)"
CHN,1999,FP.CPI.TOTL.ZG,-1.40147268276465,"Inflation, consumer prices (annual %)"
CHN,2000,FP.CPI.TOTL.ZG,0.347811226864599,"Inflation, consumer prices (annual %)"
CHN,2001,FP.CPI.TOTL.ZG,0.719125609120107,"Inflation, consumer prices (annual %)"
CHN,2002,FP.CPI.TOTL.ZG,-0.731970902350276,"Inflation, consumer prices (annual %)"
CHN,2003,FP.CPI.TOTL.ZG,1.12760348729636,"Inflation, consumer prices (annual %)"
CHN,2004,FP.CPI.TOTL.ZG,3.82463743108159,"Inflation, consumer prices (annual %)"
CHN,2005,FP.CPI.TOTL.ZG,1.77641407667574,"Inflation, consumer prices (annual %)"
CHN,2006,FP.CPI.TOTL.ZG,1.64943099455862,"Inflation, consumer prices (annual %)"
CHN,2007,FP.CPI.TOTL.ZG,4.81676767378831,"Inflation, consumer prices (annual %)"
CHN,2008,FP.CPI.TOTL.ZG,5.92525137041095,"Inflation, consumer prices (annual %)"
CHN,2009,FP.CPI.TOTL.ZG,-0.728165250932952,"Inflation, consumer prices (annual %)"
CHN,2010,FP.CPI.TOTL.ZG,3.17532475269199,"Inflation, consumer prices (annual %)"
CHN,2011,FP.CPI.TOTL.ZG,5.55389892257492,"Inflation, consumer prices (annual %)"
CHN,2012,FP.CPI.TOTL.ZG,2.61952432645544,"Inflation, consumer prices (annual %)"
CHN,2013,FP.CPI.TOTL.ZG,2.62105001748115,"Inflation, consumer prices (annual %)"
CHN,2014,FP.CPI.TOTL.ZG,1.92164162788521,"Inflation, consumer prices (annual %)"
CHN,2015,FP.CPI.TOTL.ZG,1.43702380935655,"Inflation, consumer prices (annual %)"
CHN,2016,FP.CPI.TOTL.ZG,2.00000182191941,"Inflation, consumer prices (annual %)"
CHN,2017,FP.CPI.TOTL.ZG,1.59313600071434,"Inflation, consumer prices (annual %)"
CHN,2018,FP.CPI.TOTL.ZG,2.07479039965578,"Inflation, consumer prices (annual %)"
CHN,2019,FP.CPI.TOTL.ZG,2.89923416358227,"Inflation, consumer prices (annual %)"
CHN,2020,FP.CPI.TOTL.ZG,2.4194218945778,"Inflation, consumer prices (annual %)"
CHN,2021,FP.CPI.TOTL.ZG,0.981015135544851,"Inflation, consumer prices (annual %)"
CHN,2022,FP.CPI.TOTL.ZG,1.9735755573906,"Inflation, consumer prices (annual %)"
COL,1987,FP.CPI.TOTL.ZG,23.3020283640181,"Inflation, consumer prices (annual %)"
COL,1988,FP.CPI.TOTL.ZG,28.1083969771704,"Inflation, consumer prices (annual %)"
COL,1989,FP.CPI.TOTL.ZG,25.8675480831987,"Inflation, consumer prices (annual %)"
COL,1990,FP.CPI.TOTL.ZG,29.1520245976216,"Inflation, consumer prices (annual %)"
COL,1991,FP.CPI.TOTL.ZG,30.3878204854436,"Inflation, consumer prices (annual %)"
COL,1992,FP.CPI.TOTL.ZG,27.010626623136,"Inflation, consumer prices (annual %)"
COL,1993,FP.CPI.TOTL.ZG,22.4424828533276,"Inflation, consumer prices (annual %)"
COL,1994,FP.CPI.TOTL.ZG,22.8462417553045,"Inflation, consumer prices (annual %)"
COL,1995,FP.CPI.TOTL.ZG,20.8917930194849,"Inflation, consumer prices (annual %)"
COL,1996,FP.CPI.TOTL.ZG,20.7975755127402,"Inflation, consumer prices (annual %)"
COL,1997,FP.CPI.TOTL.ZG,18.4700217119089,"Inflation, consumer prices (annual %)"
COL,1998,FP.CPI.TOTL.ZG,18.6769799276672,"Inflation, consumer prices (annual %)"
COL,1999,FP.CPI.TOTL.ZG,10.873687085747,"Inflation, consumer prices (annual %)"
COL,2000,FP.CPI.TOTL.ZG,9.22534818585368,"Inflation, consumer prices (annual %)"
COL,2001,FP.CPI.TOTL.ZG,7.96556090304835,"Inflation, consumer prices (annual %)"
COL,2002,FP.CPI.TOTL.ZG,6.3515072877887,"Inflation, consumer prices (annual %)"
COL,2003,FP.CPI.TOTL.ZG,7.12978862941867,"Inflation, consumer prices (annual %)"
COL,2004,FP.CPI.TOTL.ZG,5.90402005546497,"Inflation, consumer prices (annual %)"
COL,2005,FP.CPI.TOTL.ZG,5.05101962689697,"Inflation, consumer prices (annual %)"
COL,2006,FP.CPI.TOTL.ZG,4.29342363628925,"Inflation, consumer prices (annual %)"
COL,2007,FP.CPI.TOTL.ZG,5.54438485815156,"Inflation, consumer prices (annual %)"
COL,2008,FP.CPI.TOTL.ZG,6.99688495554508,"Inflation, consumer prices (annual %)"
COL,2009,FP.CPI.TOTL.ZG,4.20251661216488,"Inflation, consumer prices (annual %)"
COL,2010,FP.CPI.TOTL.ZG,2.27200227892008,"Inflation, consumer prices (annual %)"
COL,2011,FP.CPI.TOTL.ZG,3.41503344776241,"Inflation, consumer prices (annual %)"
COL,2012,FP.CPI.TOTL.ZG,3.16930188840063,"Inflation, consumer prices (annual %)"
COL,2013,FP.CPI.TOTL.ZG,2.01699224310378,"Inflation, consumer prices (annual %)"
COL,2014,FP.CPI.TOTL.ZG,2.89883787761738,"Inflation, consumer prices (annual %)"
COL,2015,FP.CPI.TOTL.ZG,4.98983115849532,"Inflation, consumer prices (annual %)"
COL,2016,FP.CPI.TOTL.ZG,7.51346024627683,"Inflation, consumer prices (annual %)"
COL,2017,FP.CPI.TOTL.ZG,4.31431325695007,"Inflation, consumer prices (annual %)"
COL,2018,FP.CPI.TOTL.ZG,3.24056932930567,"Inflation, consumer prices (annual %)"
