Pais,Año,Continente,GDP per capita (current US$),"Inflation, GDP deflator (annual %)","Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Population growth (annual %),ratio_population ages 65 and above,ratio_urban population,Urban population growth (annual %),Cluster
Morocco,2017,Africa,3288.50268554688,-0.0608910142931904,0.754663249323633,73.66,1.1916294240897,0.06330772122303702,0.619079987778693,2.08075383299536,1
Morocco,2018,Africa,3492.67236328125,0.939181637531973,1.8039167114189,73.986,1.1178970270223,0.065947958376521,0.6245299876186803,1.99438319842915,1
Morocco,2019,Africa,3498.58251953125,0.816805456485284,0.303386036590361,74.27,1.04358412669917,0.06874118426610895,0.6299400061832712,1.90610808199994,1
Morocco,2020,Africa,3258.10498046875,0.14695044755959,0.705968661338317,73.92,1.05316017914606,0.07151275054940515,0.6353200101655079,1.90358401884694,1
Morocco,2021,Africa,3795.38696289063,3.24424627836875,1.4019588396201,74.042,1.05148431222073,0.07424923504279682,0.6406500124175409,1.88693234929498,1
Nepal,2017,Asia,1027.96547448918,8.26141255068219,3.62709610696609,68.91,1.14995372279388,0.057503051616222954,0.19335999108128302,3.20864276792533,4
Nepal,2018,Asia,1161.5343496196,4.35585846515745,4.0611633875107,68.979,1.1405493652354,0.058627526036675155,0.19740000179606823,3.20839394800645,4
Nepal,2019,Asia,1185.68231813605,4.69115593453498,5.56868547784925,69.558,1.13635160669166,0.05972243956957455,0.20153000281349212,3.20696476089714,4
Nepal,2020,Asia,1139.18989202387,3.21740233033769,5.05236655289216,69.246,1.77426805557613,0.06039798727211328,0.20575998325236816,3.85147725709416,4
Nepal,2021,Asia,1229.39420520705,6.76271216368889,4.08791045882441,68.45,2.31172371212952,0.06048718712698713,0.2100799837149932,4.3895210502418,4
Netherlands,2017,Europa,48675.2223350217,1.26070715808579,1.3814587140721,81.7609756097561,0.591203366164118,0.18606648323629454,0.9107699732699732,1.07768610579971,2
Netherlands,2018,Europa,53044.5324352244,2.43709074520527,1.70349794744475,81.8121951219512,0.583933408920832,0.18965612295161502,0.9149000117458459,1.03637503912155,2
Netherlands,2019,Europa,52476.2732533318,3.03273379248688,2.63369910249593,82.1121951219512,0.65507157480522,0.19319067985158037,0.9187599748490534,1.0760840670841,2
Netherlands,2020,Europa,52162.5701150397,1.92857201636885,1.2724603778917,81.3585365853659,0.55554079025497,0.196470601725769,0.9223600034400711,0.946610706564147,2
Netherlands,2021,Europa,57708.1112134322,2.41874760071983,2.67572008805381,81.4609756097561,0.523490508168757,0.19951424293465528,0.9257199719569517,0.887108129015578,2
New Zealand,2017,Oceania,42910.9728362488,3.51715584280765,1.85078767452532,81.8585365853659,2.08872272281936,0.14861704337709822,0.864659921887984,2.16508323721803,2
New Zealand,2018,Oceania,43236.8866923404,1.75240141778291,1.59829703801698,81.7073170731707,1.79124016759035,0.15037464800228542,0.8653799534750847,1.87447889970609,2
New Zealand,2019,Oceania,42796.4305818389,3.10008899782621,1.61963190184049,82.0560975609756,1.59115889619722,0.1526990279562982,0.866149983933162,1.68010110761429,2
New Zealand,2020,Oceania,41760.5947839997,2.01134373473306,1.71456170007244,82.2560975609756,2.20478869594563,0.15578405563632078,0.8669899021649444,2.30171316283647,2
New Zealand,2021,Oceania,49996.4206725811,4.80486674681298,3.94112060778728,82.2073170731707,0.415621677337565,0.1592825840278593,0.8678900105646202,0.519387762106515,2
Niger,2017,Africa,514.543268872382,0.372075773438809,2.7963731887128,62.16,3.82693398223338,0.024066099786354923,0.16349998863736837,4.19457258954785,0
Niger,2018,Africa,567.330849192284,2.17578786783204,2.96760366004454,62.454,3.78759649907003,0.024216352724079463,0.16425000989942976,4.24527617848314,0
Niger,2019,Africa,550.963543141805,0.406851113874922,-2.48979265070851,62.897,3.76544488542259,0.024363666129727894,0.1651699905384856,4.32399204685123,0
Niger,2020,Africa,564.821997328603,0.949190054478137,2.89819376026271,61.451,3.72710072523223,0.024356118704645862,0.166260007391414,4.38486905627171,0
Niger,2021,Africa,590.629481388087,3.11864066290167,3.83786802840503,61.576,3.70742378461307,0.024193510703519407,0.1675099816962306,4.45643069921083,0
Norway,2017,Europa,76131.8384032764,4.08094934122931,1.87510059552548,82.609756097561,0.807673181884948,0.16783596186294858,0.8187099106911393,1.28024610929856,2
Norway,2018,Europa,82792.8427113304,6.74292461940227,2.76483134528794,82.7585365853659,0.660090844249,0.17087280747662426,0.8224800618082063,1.11953281162056,2
Norway,2019,Europa,76430.5889473338,-0.548437016889537,2.16773003305405,82.9585365853659,0.675061373245644,0.17396374200246228,0.8261600449971354,1.12148861779611,2
Norway,2020,Europa,68340.0181033702,-2.51726059053333,1.28658490707998,83.209756097561,0.588757324043059,0.17729927176908528,0.829740076866237,1.0211550755444,2
Norway,2021,Europa,90655.3910229392,17.1026108623609,3.48388055266678,83.1634146341463,0.534772281874925,0.18098337376486598,0.8332299124312171,0.954484087915797,2
Russian Federation,2017,Asia,10720.33203125,5.34981508815954,3.68332944412231,72.4514634146342,0.106870569429971,0.14215910436567014,0.7429199976616774,0.27931225422418,1
Russian Federation,2018,Asia,11287.3544921875,9.99797671159203,2.87829723647886,72.6621951219512,-0.0130668924933287,0.14540353896024996,0.7443300014571783,0.176545374278621,1
Russian Federation,2019,Asia,11536.2587890625,3.26313281835351,4.47036660760175,73.0839024390244,-0.0495686654330689,0.14906999080877803,0.7458700007474053,0.15711497920048,1
Russian Federation,2020,Asia,10194.44140625,0.898246027085079,3.38165937237896,71.3387804878049,-0.230950388878624,0.15306070342508468,0.7475399977229621,-0.0073014681721345,1
Russian Federation,2021,Asia,12593.1572265625,18.9905167887065,6.69445891957619,69.3612195121951,-0.43395152847745,0.1559342024191044,0.749340000200489,-0.193450840695678,1
